annee,gov_latin,gouvernorat,nombre,superficie_ha
2020,Medenine,مدنين,0,0.0
2020,Kebili,قبلي,0,0.0
2021,Tunis,تونس,2,0.32
2021,Ariana,أريانة,8,40.45
2021,Ben Arous,بن عروس,5,11.0
2021,Manouba,منوبة,16,49.79
2021,Nabeul,نابل,34,464.387
2021,Zaghouan,زغوان,26,1426.89
2021,Bizerte,بنزرات,87,408.24
2021,Beja,باجة,37,189.468
2021,Jendouba,جندوبة,144,4057.919
2021,Kef,الكاف,11,3142.32
2021,Siliana,سليانة,33,61.18
2021,Kasserine,القصرين,27,14122.48
2021,Sidi Bouzid,سيدي بوزيد,0,0.0
2021,Kairouan,القيروان,27,1833.18
2021,Gafsa,قفصة,0,0.0
2021,Sousse,سوسة,0,0.0
2021,Sfax,صفاقس,0,0.0
2021,Mahdia,المهدية,0,0.0
2021,Monastir,المنستير,0,0.0
2021,Gabes,قابس,0,0.0
2021,Tozeur,توزر,0,0.0
2021,Tataouine,تطاوين,0,0.0
2021,Medenine,مدنين,0,0.0
2021,Kebili,قبلي,0,0.0
2022,Tunis,تونس,1,0.007
2022,Ariana,أريانة,10,846.9
2022,Ben Arous,بن عروس,11,885.5
2022,Manouba,منوبة,9,14.0235
2022,Nabeul,نابل,63,243.168
2022,Zaghouan,زغوان,25,675.055
2022,Bizerte,بنزرات,86,880.623
2022,Beja,باجة,111,2166.735
2022,Jendouba,جندوبة,180,1139.2298
2022,Kef,الكاف,6,86.952
2022,Siliana,سليانة,18,1250.515
2022,Kasserine,القصرين,10,2.5005
2022,Sidi Bouzid,سيدي بوزيد,0,0.0
2022,Kairouan,القيروان,19,382.774
2022,Gafsa,قفصة,0,0.0
2022,Sousse,سوسة,0,0.0
2022,Sfax,صفاقس,0,0.0
2022,Mahdia,المهدية,0,0.0
2022,Monastir,المنستير,0,0.0
2022,Gabes,قابس,0,0.0
2022,Tozeur,توزر,0,0.0
2022,Tataouine,تطاوين,0,0.0
2022,Medenine,مدنين,0,0.0
2022,Kebili,قبلي,0,0.0
2023,Tunis,تونس,0,0.0
2023,Ariana,أريانة,4,18.5
2023,Ben Arous,بن عروس,0,0.0
2023,Manouba,منوبة,3,0.5
2023,Nabeul,نابل,40,114.65
2023,Zaghouan,زغوان,14,12.91
2023,Bizerte,بنزرات,49,539.72
2023,Beja,باجة,47,624.43
2023,Jendouba,جندوبة,100,1484.68
2023,Kef,الكاف,10,2.4
2023,Siliana,سليانة,38,1242.03
2023,Kasserine,القصرين,5,9.17
2023,Sidi Bouzid,سيدي بوزيد,0,0.0
2023,Kairouan,القيروان,22,475.12
2023,Gafsa,قفصة,0,0.0
2023,Sousse,سوسة,0,0.0
2023,Sfax,صفاقس,0,0.0
2023,Mahdia,المهدية,0,0.0
2023,Monastir,المنستير,0,0.0
2023,Gabes,قابس,0,0.0
