cell_id,acq_date,latitude,longitude,frp,t_max,h_mean,wind_max,ndvi,ndwi,confidence,precip_sum,elevation_m
3646710300,2026-09-02,31.3024,8.02782,2.35,40.0,26.0,23.0,0.064,-0.151,n,0.0,173.0
3295443075,2026-09-02,31.39038,10.60483,0.82,38.4,25.0,32.4,0.074,-0.121,n,0.0,477.0
344111876,2026-09-02,33.36441,8.54716,2.76,41.0,31.0,48.2,0.045,-0.042,n,0.0,24.0
1516988364,2026-09-02,33.5286,9.68537,1.56,34.5,36.0,22.7,0.045,-0.066,n,0.0,189.0
899586371,2026-09-02,33.87311,9.99063,1.64,34.6,43.0,22.0,0.062,-0.13,n,0.0,67.0
4173545397,2026-09-02,34.90354,8.54012,0.75,33.4,30.0,28.1,0.06,-0.099,n,0.0,702.0
1737130079,2026-09-02,35.77555,9.88928,1.46,39.1,32.0,25.2,0.081,-0.171,n,0.0,84.0
3689339704,2026-09-01,30.38741,7.90744,3.61,40.6,18.0,31.0,0.044,-0.107,n,0.0,205.0
3561648964,2026-09-01,30.66323,8.10174,1.81,40.6,18.0,31.0,0.063,-0.135,n,0.0,199.0
1030826936,2026-09-01,30.82504,8.02808,3.95,42.0,16.0,27.0,0.061,-0.126,n,0.0,198.0
998402818,2026-09-01,31.00912,8.16974,6.4,42.0,16.0,27.0,0.046,-0.096,n,0.0,184.0
2241064467,2026-09-01,31.01377,8.16557,5.67,42.0,16.0,27.0,0.063,-0.116,n,0.0,200.0
3728676919,2026-09-01,31.05439,8.03288,8.41,42.0,16.0,27.0,0.063,-0.179,n,0.0,180.0
2767123492,2026-09-01,31.38775,10.60627,0.72,37.8,27.0,32.8,0.072,-0.133,n,0.0,480.0
1512719161,2026-09-01,31.69573,9.02107,1.2,42.0,16.0,27.0,0.068,-0.125,n,0.0,223.0
2763392541,2026-09-01,31.9543,11.14735,2.1,32.9,36.0,29.5,0.06,-0.103,n,0.0,249.0
1506944081,2026-09-02,36.46241,10.05394,1.74,37.5,31.0,17.3,0.09,-0.111,n,0.0,141.0
2982465644,2026-09-02,36.59118,10.3175,1.06,34.8,44.0,17.6,0.019,-0.165,n,0.0,120.0
2043263990,2026-09-02,36.67717,9.92245,1.3,34.7,44.0,17.6,0.053,-0.119,n,0.0,74.0
1567419241,2026-09-01,31.05321,8.03475,10.79,42.0,16.0,27.0,0.06,-0.131,n,0.0,183.0
760043521,2026-09-01,31.05412,8.03161,19.3,42.0,16.0,27.0,0.067,-0.147,l,0.0,176.0
2856606574,2026-09-01,31.05692,8.03416,10.79,42.0,16.0,27.0,0.063,-0.227,n,0.0,173.0
1032855552,2026-09-02,36.93268,9.62886,0.26,32.3,52.0,18.0,0.106,-0.091,n,0.0,222.0
3230478299,2026-09-02,31.70404,9.24543,0.82,40.0,26.0,23.0,0.059,-0.104,n,0.0,256.0
912664896,2026-09-03,35.47328,10.62305,1.4,31.8,56.0,27.4,0.095,-0.109,n,0.0,34.0
1427444606,2026-09-03,35.77582,9.89106,2.18,39.3,28.0,32.0,0.066,-0.183,n,0.0,87.0
318017844,2026-09-03,36.15892,10.28306,1.23,34.3,50.0,33.1,0.077,-0.141,n,0.0,108.0
2113322351,2026-09-03,36.46079,10.05556,0.97,35.8,34.0,33.1,0.113,-0.195,n,0.0,138.0
733506175,2026-09-03,36.46197,10.05505,1.39,35.8,34.0,33.1,0.088,-0.118,n,0.0,142.0
478675453,2026-09-03,36.64635,10.04839,1.95,33.5,46.0,22.0,0.117,-0.128,n,0.0,49.0
2855799980,2026-09-03,36.34507,9.23508,6.06,32.3,33.0,31.7,0.108,-0.137,n,0.0,413.0
1221097148,2026-09-03,36.74631,10.27991,7.77,33.6,46.0,22.0,0.085,-0.122,n,0.0,5.0
4254064716,2026-09-03,36.74963,10.27906,12.88,33.6,46.0,22.0,0.13,-0.126,n,0.0,7.0
141300,2026-09-01,36.75,8.45,42.0,33.0,69.0,11.2,0.334,0.057,h,0.0,108.0
141300,2026-09-01,36.75,8.45,42.0,33.0,69.0,11.2,0.334,0.057,h,0.0,108.0
130395,2026-09-01,36.08,9.64,75.0,34.6,48.0,14.7,0.032,-0.197,h,0.0,1011.0
179544,2026-09-01,36.53,10.27,15.0,36.6,59.0,9.7,0.271,0.002,n,0.0,292.0
677199844,2026-09-01,36.03488,9.67806,9.66,33.8,30.0,16.9,0.107,-0.179,n,0.0,566.0
1538086542,2026-09-01,36.03595,9.67261,5.98,33.8,30.0,16.9,0.161,-0.1,n,0.0,633.0
178632417,2026-09-01,36.03956,9.67374,5.98,33.8,30.0,16.9,0.169,-0.102,n,0.0,558.0
3947594145,2026-09-01,36.04376,9.65243,5.05,33.8,30.0,16.9,0.105,-0.283,n,0.0,574.0
581619668,2026-09-01,36.04787,9.63154,4.77,33.8,30.0,16.9,0.211,-0.124,n,0.0,581.0
3419277074,2026-09-01,36.04896,9.62599,4.77,33.8,30.0,16.9,0.204,-0.128,n,0.0,706.0
3319391510,2026-09-01,36.0493,9.68258,3.99,33.8,30.0,16.9,0.222,-0.088,n,0.0,510.0
3270548460,2026-09-01,36.05151,9.63245,3.21,33.8,30.0,16.9,0.181,-0.157,n,0.0,644.0
2106817680,2026-09-01,36.05186,9.68906,3.99,33.8,30.0,16.9,0.161,-0.108,n,0.0,479.0
434783186,2026-09-01,36.0526,9.62691,3.21,33.8,30.0,16.9,0.09,-0.227,n,0.0,692.0
1994584758,2026-09-01,36.05448,9.65624,2.96,33.8,30.0,16.9,0.17,-0.123,n,0.0,487.0
1054455831,2026-09-01,36.05547,9.69018,3.31,33.8,30.0,16.9,0.103,-0.102,n,0.0,460.0
3608586349,2026-09-01,36.05555,9.6508,2.96,33.8,30.0,16.9,0.2,-0.044,n,0.0,513.0
4113101417,2026-09-01,36.05651,9.68486,3.31,33.8,30.0,16.9,0.201,-0.078,n,0.0,469.0
1578735399,2026-09-01,36.05741,9.62185,20.61,33.8,30.0,16.9,0.08,-0.169,n,0.0,753.0
2055212687,2026-09-01,36.0581,9.65726,2.96,33.8,30.0,16.9,0.173,-0.054,n,0.0,486.0
3330807192,2026-09-01,36.05857,9.67436,6.35,33.8,30.0,16.9,0.182,-0.085,n,0.0,457.0
1974487397,2026-09-02,30.66348,8.1034,1.42,40.8,17.0,29.2,0.075,-0.189,l,0.0,199.0
2079391966,2026-09-02,30.82451,8.02915,1.46,39.9,26.0,23.0,0.051,-0.105,l,0.0,188.0
2953374724,2026-09-02,30.82781,8.02845,1.18,39.9,26.0,23.0,0.059,-0.126,l,0.0,203.0
2428691950,2026-09-02,31.05611,8.03444,21.65,39.9,26.0,23.0,0.078,-0.314,n,0.0,172.0
3156071334,2026-09-02,31.30294,8.0281,1.83,39.9,26.0,23.0,0.068,-0.162,n,0.0,174.0
2103396029,2026-09-02,31.95547,11.14521,3.48,33.0,33.0,30.6,0.044,-0.084,n,0.0,253.0
2986068433,2026-09-02,31.69574,9.20343,0.92,39.9,26.0,23.0,0.067,-0.128,l,0.0,231.0
2687219899,2026-09-02,33.52925,9.68413,0.86,34.5,36.0,22.3,0.059,-0.129,l,0.0,186.0
2482810226,2026-09-02,35.6487,9.51597,2.79,36.2,31.0,22.3,0.111,-0.126,l,0.0,447.0
