latitude,longitude,acq_date,incendie,t_max,wind_max,precip_sum,h_mean,ndvi,ndwi
35.8057358308964,9.250234836324166,2022-10-27,0,26.6,11.4,0.0,60.1,0.111,-0.115
35.19004,8.59907,2021-06-25,1,35.3,22.7,0.0,47.05,0.263,-0.099
35.03793,9.88597,2025-07-17,1,35.8,20.5,0.0,46.3,0.139,-0.126
31.64736,9.17096,2024-02-22,1,17.3,14.1,0.0,74.05,0.067,-0.114
35.46313,9.00104,2020-07-30,1,30.7,12.8,0.0,53.95,0.296,-0.108
35.03582072626822,8.880971443786459,2020-08-12,0,34.5,12.4,0.0,48.25,0.118,-0.161
36.99477908060993,10.948895722030288,2016-05-23,0,21.6,26.0,0.0,67.6,0.308,-0.122
37.19082319237755,9.361506706129472,2020-10-04,0,27.2,18.1,0.0,59.2,0.268,-0.056
36.18274671196715,9.777181259003743,2021-08-27,0,34.7,12.6,0.0,47.95,0.227,-0.032
36.48582348588496,10.5674793305291,2019-08-26,0,30.9,13.1,0.0,53.650000000000006,0.091,0.086
37.11997439157192,9.599485384205112,2020-07-22,0,35.0,18.5,0.0,47.5,0.141,-0.165
36.43289558179794,10.264666786502142,2020-07-25,0,35.5,14.8,0.0,46.75,0.122,-0.191
36.15668,10.28424,2022-10-08,1,31.3,14.8,0.0,53.05,0.064,-0.131
35.51539594577196,9.219167025405476,2020-09-19,0,33.3,13.8,0.0,50.05,0.061,-0.016
35.398532015567575,8.389463156848597,2022-05-19,0,29.3,16.3,0.0,56.05,0.129,-0.123
36.22289,9.89706,2022-05-07,1,18.7,30.8,2.9,71.95,0.311,0.022
31.65165,10.24224,2016-03-21,1,31.9,35.3,0.0,52.150000000000006,0.092,-0.101
35.64208451323344,9.299945226317764,2018-07-20,0,37.0,16.3,0.1,44.5,0.114,-0.163
36.72112779720538,10.870979973621036,2025-09-11,0,28.9,23.7,0.0,56.650000000000006,0.141,-0.143
36.67637,9.92053,2020-05-22,1,28.2,19.6,0.0,57.7,0.114,-0.068
35.46758,8.54508,2017-08-03,1,35.4,12.1,0.0,46.900000000000006,0.346,-0.032
36.70569293415549,10.798115929701364,2022-08-04,0,35.6,13.5,0.0,46.6,0.159,-0.119
34.4341,8.72515,2017-07-13,1,43.2,22.1,0.0,35.19999999999999,0.097,-0.153
35.23966914984123,8.809352734311013,2022-05-20,0,27.1,12.0,0.0,59.35,0.106,-0.091
35.74798684474547,8.721514778931892,2016-05-10,0,30.4,19.9,0.0,54.400000000000006,0.172,-0.092
36.86950960078038,10.886281751399167,2025-05-18,0,24.9,19.9,0.0,62.650000000000006,0.284,0.01
36.91444562623767,9.48874116983646,2022-07-20,0,39.0,25.1,0.0,41.5,0.157,-0.095
36.30501571744436,10.178107776926224,2024-09-20,0,27.6,11.4,9.0,58.6,0.106,-0.158
36.78556,10.678,2023-07-25,1,42.2,21.7,0.0,36.7,0.189,-0.107
35.88848,8.86778,2023-09-11,1,32.3,15.1,0.0,51.55,0.093,-0.116
36.89889728944361,9.64131049229193,2022-06-17,0,35.2,16.2,0.0,47.2,0.119,-0.122
36.76385,9.28441,2025-08-11,1,32.6,20.0,0.0,51.1,0.134,-0.091
35.24472103363416,8.63841415703905,2017-08-11,0,34.0,14.2,0.2,49.0,0.124,-0.173
36.63253122919495,10.719839625995435,2021-06-25,0,34.4,14.8,0.0,48.400000000000006,0.266,-0.058
37.21790631788966,9.532845513543016,2019-10-11,0,22.7,15.6,0.0,65.95,0.792,0.254
31.40347,9.85298,2016-03-17,1,22.7,14.8,0.0,65.95,0.089,-0.097
36.82692960438413,8.71759373332321,2019-06-16,0,24.0,12.1,0.0,64.0,0.611,0.163
36.77147142859595,10.563295070951188,2024-08-27,0,32.2,15.2,0.0,51.7,0.193,-0.071
36.376068485686815,9.33519157572207,2024-07-25,0,34.0,15.6,0.0,49.0,0.188,-0.072
36.82045,10.64702,2021-07-31,1,41.9,15.3,0.0,37.150000000000006,0.301,-0.076
37.135461472476834,9.94084395258347,2016-09-27,0,23.7,12.4,4.8,64.45,0.236,-0.143
37.17449760169286,9.400520891952109,2025-06-13,0,34.4,20.0,0.0,48.400000000000006,0.478,0.234
35.12792840944915,9.033519253508455,2016-10-05,0,25.5,8.9,9.7,61.75,0.206,-0.123
36.19583367869195,9.429376494495944,2020-05-13,0,33.7,31.4,0.0,49.45,0.26,-0.064
33.87312,9.99154,2019-07-01,1,30.7,23.5,0.0,53.95,0.052,-0.168
35.95273617149465,9.26123156434918,2018-09-15,0,27.5,11.8,0.0,58.75,0.157,-0.203
36.15817,10.28465,2017-06-25,1,35.4,16.5,0.0,46.900000000000006,0.059,-0.149
31.40607,9.85468,2018-12-16,1,15.9,15.5,0.0,76.15,0.071,-0.056
36.99792716335982,9.377050624360765,2021-06-25,0,37.7,20.0,0.0,43.45,0.2,-0.07
32.28811,10.97475,2016-08-13,1,31.9,24.0,0.0,52.150000000000006,0.058,-0.126
36.90099,9.54963,2025-10-03,1,20.5,20.0,0.0,69.25,0.141,-0.163
37.0507974865817,9.892111313101394,2023-05-03,0,21.5,24.7,0.0,67.75,0.406,0.153
31.39905,10.02314,2019-04-24,1,34.5,24.6,0.0,48.25,0.075,-0.101
36.86366631657207,10.889426194549344,2021-09-09,0,27.9,25.1,6.5,58.150000000000006,0.04,0.056
31.39946,10.02028,2022-06-11,1,31.2,25.7,0.0,53.2,0.065,-0.098
35.279456954993016,8.934075731706374,2020-09-26,0,22.9,21.9,0.0,65.65,0.148,-0.144
36.02040573953968,9.468570686568262,2022-08-17,0,41.6,19.5,0.0,37.6,0.096,-0.079
36.97626805744871,8.843340313066854,2016-09-11,0,26.7,15.1,0.0,59.95,0.383,0.035
31.64703,9.16938,2022-05-01,1,22.9,35.9,0.0,65.65,0.069,-0.099
36.101036001934325,9.952592999328996,2024-06-10,0,34.8,20.1,0.0,47.8,0.059,-0.144
36.80264,8.57885,2017-07-31,1,42.4,26.3,0.0,36.400000000000006,0.437,-0.026
35.19844035647193,9.060087716606388,2019-06-15,0,34.9,15.9,0.0,47.650000000000006,0.202,-0.131
35.73009951696724,9.502809506603938,2024-06-13,0,29.9,17.9,0.0,55.150000000000006,0.095,-0.114
36.60234564540113,10.678055583301852,2019-05-25,0,20.6,17.5,17.6,69.1,0.425,0.026
35.047072854850335,9.275824013517012,2018-06-16,0,32.2,15.9,0.0,51.7,0.185,-0.103
